"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"COMPUTER AIDE-NON-SPVR","$2,271.68","$465,695","$1,921.79","$286,346","$1,520.66","$176,397","$2,070","$227,733","$1,726.93","$174,420","$1,512.29","$119,471","$1,342.98","$81,922"
"COMPUTER ASSOCIATE","$2,695.74","$2,148,506","$3,118.98","$2,648,013","$2,988.56","$2,743,494","$3,542","$3,336,487","$3,540.28","$3,002,160","$3,873.74","$3,037,016","$4,766.34","$3,517,558"
"COMPUTER OPERATIONS MANAGER","$0.00","$0","$1.70","$99","$0.04","$3","$6","$393","$0.00","$0","$0.65","$44","$0.13","$9"
"COMPUTER OPERATOR","$7,209.81","$14,420","$6,635.45","$13,271","$11,077.72","$22,155","$11,882","$23,764","$14,414.81","$28,830","$20,639.27","$41,279","$8,653.15","$17,306"
"COMPUTER OPERATOR MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMPUTER PROGRAMMER ANALYST","$784.22","$55,679","$785.52","$62,056","$709.22","$67,375","$896","$94,124","$1,667.02","$96,687","$1,825.89","$67,558","$951.46","$31,398"
"COMPUTER PROGRAMMER ANALYST TRAINEE","$748.25","$19,454","$764.64","$15,293","$574.94","$6,899",NA,NA,"$0.00","$0",NA,NA,NA,NA
"COMPUTER SERVICE TECHNICIAN","$1,839.17","$204,148","$1,311.98","$133,822","$997.09","$106,689","$1,392","$139,210","$1,731.57","$157,573","$2,238.96","$183,594","$2,596.11","$199,900"
"COMPUTER SPECIALIST","$2,521.99","$2,554,776","$2,805.54","$2,926,180","$3,077.04","$3,501,676","$3,126","$3,566,745","$2,526.74","$2,764,254","$2,301.43","$2,575,306","$2,758.46","$3,023,272"
"COMPUTER SYSTEM MANAGER","$0.00","$0","$0.00","$0","$4,387.39","$13,162","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMPUTER SYSTEMS MANAGER","$18.41","$15,411","$70.40","$61,248","$34.38","$31,631","$55","$53,808","$20.56","$20,726","$46.10","$46,695","$77.91","$74,717"
"CONFIDENTIAL AGENCY INVESTIGATOR","$0.00","$0","$0.00","$0","$0.00","$0","$674","$4,717","$0.00","$0","$6,491.24","$77,895","$0.00","$0"
"CONFIDENTIAL ASSISTANT TO BORO PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"CONFIDENTIAL ASSISTANT TO THE COMMISSIONER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$76.11","$76"
"CONFIDENTIAL ASSISTANT TO THE COMPTROLLER",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"CONFIDENTIAL ASST TO THE EXECUTIVE DEPUTY COMMISSIONER",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CONFIDENTIAL ASST TO THE EXECUTIVE DIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"CONFIDENTIAL EXAMINER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"CONFIDENTIAL INVESTIGATOR","$978.67","$160,502","$1,264.46","$202,314","$1,474.23","$257,990","$1,117","$193,187","$1,238.71","$229,161","$1,455.22","$250,297","$669.76","$125,914"
"CONFIDENTIAL SECRETARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"CONFIDENTIAL SECRETARY OF ADMINISTRATIVE LAW JUDGE","$0.00","$0","$0.00","$0","$42.17","$84","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CONFIDENTIAL SECRETARY TO THE DEPUTY COMMISSIONER","$3,483.36","$3,483","$85.15","$170","$563.19","$1,126","$3,089","$9,268","$3,321.01","$9,963","$519.04","$1,038","$2,274.82","$4,550"
"CONFIDENTIAL SECY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"CONFIDENTIAL STRATEGY PLANNER","$1,204.94","$6,025","$4,506.95","$54,083","$3,441.85","$89,488","$1,765","$63,558","$1,801.05","$72,042","$1,469.05","$71,983","$2,243.48","$105,444"
"CONGREG CARE SPEC- DJJ","$6,792.18","$203,765","$8,386.19","$176,110","$15,644.83","$312,897","$14,377","$215,650","$19,251.88","$269,526","$19,043.13","$266,604","$16,722.42","$200,669"
"CONGREG CARE SPEC - ACS","$8,068.42","$80,684","$13,354.52","$93,482","$13,272.97","$292,005","$11,520","$645,140","$14,353.85","$818,170","$16,900.65","$1,098,542","$13,129.89","$1,102,911"
"CONSTRUCTION PROJECT MANAGER","$3,561.65","$1,481,646","$4,176.34","$1,712,301","$4,322.92","$1,794,013","$4,686","$1,916,492","$5,155.40","$1,974,517","$5,552.16","$2,165,343","$3,703.02","$1,496,020"
"CONSTRUCTION PROJECT MANAGER INTERN","$3,663.25","$142,867","$3,681.82","$117,818","$2,892.08","$127,251","$4,281","$141,272","$3,507.01","$73,647","$1,302.51","$7,815","$328.28","$1,313"
"CONSULTANT","$2,605.74","$138,104","$3,803.97","$190,198","$2,844.63","$164,988","$1,669","$95,113","$1,248.56","$81,156","$720.50","$41,068","$113.99","$6,497"
"CONSULTANT PUBLIC HEALTH NURSE","$2,541.55","$5,083","$727.06","$727","$39.35","$39","-$0","-$0","$0.06","$0","$14.52","$131","$0.00","$0"
"CONSUMER ADVOCATE",NA,NA,NA,NA,NA,NA,"$911","$911","$0.00","$0",NA,NA,"$66.94","$67"
"CONTRACT REVIEWER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$366.74","$10,269"
"CONTRACT SPECIALIST","$159.38","$10,041","$110.92","$6,988","$245.49","$12,765","$415","$26,555","$313.90","$21,031","$194.84","$15,198","$291.57","$27,408"
"CONTROLLER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"COOK",NA,NA,"$3,297.13","$412,142","$4,944.82","$598,324","$5,448","$735,517",NA,NA,"$4,849.00","$513,994",NA,NA
"COORDINATING MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"COORDINATOR OF VETERANS' AFFAIRS","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COORDINATOR, ELECTION DAY OPERATIONS","$12,337.16","$12,337","$12,672.45","$12,672","$13,034.55","$13,035","$15,957","$15,957","$11,730.57","$11,731","$13,348.72","$13,349","$14,436.43","$14,436"
"COORDINATOR, TENANT PATROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"COORDINATOR, VOTER REGISTRATION ACTIVITIES","$24,350.36","$24,350","$23,286.56","$23,287","$28,782.24","$28,782","$31,427","$31,427","$12,184.49","$12,184","$29,829.02","$29,829","$14,715.73","$14,716"
"CORPORATION COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CORRECTION ADMINISTRATIVE AIDE","$152.86","$764","$4.49","$9","$26.31","$158","$46","$186","$393.03","$786","$0.00","$0","$0.00","$0"
"CORRECTION OFFICER","$13,537.07","$91,266,933","$20,542.84","$134,802,100","$28,985.11","$198,663,969","$22,329","$180,281,916","$17,241.28","$135,568,194","$13,571.18","$100,603,146","$11,867.20","$78,762,622"
"CORRECTIONAL COUNSELOR","$64.45","$387","$16.89","$203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORRECTIONAL STANDARDS REVIEW SPECIALIST","$3,550.95","$60,366","$7,732.04","$139,177","$10,376.60","$186,779","$5,035","$201,415","$2,227.27","$93,545","$1,558.24","$49,864","$1,105.46","$34,269"
"COUNCIL MEMBER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COUNSEL TO MINORITY LEADER","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COUNSEL TO THE BOARD","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COUNSEL TO THE BOROUGH PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COUNSEL TO THE CHANCELLOR",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COUNSEL TO THE POLICE COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"COUNSEL TO THE PUBLIC ADVOCATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COUNSELOR","$1,174.83","$8,224","$1,636.32","$13,091","$208.73","$1,252","$369","$3,693","$1,224.80","$12,248","$360.02","$3,600","$1,427.43","$14,274"
"COUNTY DETECTIVE","$2,736.74","$21,894","$5,349.86","$42,799","$6,629.57","$53,037","$10,114","$60,686","$8,080.56","$48,483","$10,341.91","$51,710","$10,616.55","$53,083"
"CRIME ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,"$477.58","$35,818","$1,850.66","$125,845","$1,837.84","$121,297"
"CRIMINALIST","$7,024.61","$1,917,719","$6,487.06","$1,965,579","$6,408.19","$1,845,558","$7,586","$2,374,268","$6,400.89","$2,342,727","$6,690.93","$2,515,791","$6,286.39","$2,527,128"
"CRIMINALIST ASSISTANT DIRECTOR OF LABORATORY","$1,620.12","$21,062","$203.16","$3,251","$1,138.94","$22,779","$14","$293","$306.83","$6,444","$0.00","$0","$503.18","$9,057"
"CRIMINALIST DEPUTY DIRECTOR OF LABATORY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CRIMINALIST DIRECTOR OF LABORATORY","$0.00","$0","$0.00","$0","$369.97","$1,110","$0","$0","$5.07","$15","$0.00","$0","$0.00","$0"
"CSE CHAIRPERSON","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CUNY ADMINISTRATOR ASSISTANT","$752.90","$81,313","$492.23","$50,700","$514.75","$49,931","$761","$72,309","$560.71","$51,025","$545.45","$45,272","$338.46","$27,415"
"CUNY BROADCAST ASSOCIATE","$6,542.72","$39,256","$5,436.23","$43,490","$6,458.92","$51,671","$12,124","$60,619","$7,610.29","$45,662","$8,514.77","$51,089","$3,945.66","$23,674"
"CUNY CUSTODIAL ASSISTANT","$2,317.46","$558,508","$3,149.70","$721,281",NA,NA,"$4,210","$943,062","$2,554.04","$554,227","$2,579.86","$526,292","$1,791.49","$349,341"
"CUNY OFFICE ASSISTANT","$318.66","$104,840","$258.31","$86,277","$200.95","$63,298","$348","$108,612","$250.89","$78,279","$184.51","$57,566","$157.16","$46,677"
"CUNY SECRETARIAL ASSISTANT","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUNY START INSTRUCTOR",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CUSTODIAL ASSISTANT","$128.28","$1,796",NA,NA,"$4,945.72","$4,446,205",NA,NA,NA,NA,"$3,582.07","$57,313",NA,NA
"CUSTODIAL SUPERVISOR","$4,279.41","$85,588","$5,501.64","$154,046","$4,235.53","$127,066","$4,628","$134,203","$3,057.46","$88,666","$3,225.36","$87,085","$3,138.30","$81,596"
"CUSTODIAN","$10,463.39","$3,578,480","$10,125.13","$3,503,295","$11,438.48","$3,786,136","$12,756","$4,158,424","$11,743.48","$3,734,426","$11,603.58","$3,550,697","$12,779.90","$3,872,309"
"CUSTOMER INFORMATION REPRESENTATIVE",NA,NA,"$894.31","$256,666","$921.67","$252,538","$1,016","$298,609",NA,NA,NA,NA,NA,NA
"CUSTOMER INFORMATION REPRESENTATIVE MA L 1549","$882.93","$263,113",NA,NA,NA,NA,NA,NA,"$923.51","$271,511","$1,396.63","$497,199","$1,402.64","$523,185"
"CYBER SECURITY ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"DEAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DECEDENT PROPERTY AGENT","$5.92","$77","$0.23","$3","$0.00","$0","$0","$0","$0.00","$0","$66.93","$736","$86.12","$1,033"
"DECKHAND","$16,361.73","$3,435,963","$21,510.14","$4,237,498","$26,375.25","$5,222,299","$25,174","$5,135,582","$25,117.75","$4,973,314","$23,035.85","$4,699,312","$23,335.52","$5,040,473"
"DEP COMMISSIONER FOR COMMUNITY RELATIONS",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"DEP DIR MTR EQ MNTC","$0.00","$0","$0.00","$0","$0.00","$0","$300","$600","$645.51","$1,291","$0.00","$0","$0.00","$0"
"DEP DIR OF AUDIT & PROG ANALYSIS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"DEP DIR OF PROGRAM PLANNING",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEP DIR OF SOCIAL & COMM SERV",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"DEP DIR RESEARCH & POL DEVELP",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"DEP DIRECTOR OF PERSONNEL & LR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"DEPARTMENT LIBRARIAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,517.51","$1,518"
"DEPUTY ADMINISTRATION ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY ADMINISTRATOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"DEPUTY ASSISTANT CHIEF OF DEPARTMENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY ASSISTANT COMMISSIONER","$76.99","$924","$52.64","$948","$797.27","$15,148","$0","$0","$70.63","$3,037","$0.43","$19","$163.27","$7,184"
"DEPUTY ASSISTANT COUNSEL","$0.00","$0","$0.44","$2","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY ASSISTANT DIRECTOR","$381.57","$763","$2,817.01","$5,634","$1,282.21","$8,975","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY ASST ADMIN FOR PERSONNEL ADM & LABOR REL","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,"$0.00","$0"
"DEPUTY ASST COMMISSIONER FOR PROGRAM DEV & ANAL",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0",NA,NA,NA,NA
"DEPUTY AUDITOR GENERAL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY BOROUGH COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY BOROUGH PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CHANCELLOR FINANCIAL AFFAIRS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"DEPUTY CHIEF","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CHIEF CITY MEDICAL EXAMINER","$0.00","$0",NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CHIEF CLERK","$0.00","$0","$100.39","$402","$0.00","$0","$0","$0","$12,665.79","$63,329","$64.90","$324","$0.00","$0"
"DEPUTY CHIEF OF OPERATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CHIEF OF STAFF",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CHIEF SURGEON","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CITY CLERK","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CITY SHERIFF - NON-SPVR","$7,516.04","$706,508","$7,784.97","$731,787","$14,115.55","$1,369,208","$17,588","$1,706,020","$18,983.20","$1,689,505","$18,383.82","$2,058,988","$26,510.94","$2,916,204"
"DEPUTY COMMISIONER","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0",NA,NA,"$0.00","$0"
"DEPUTY COMMISSIONER","$0.00","$0","$14.50","$812","$0.35","$20","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COMMISSIONER FOR ADMINISTATION",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COMMISSIONER FOR CITY PERSONNEL SERVICES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COMMISSIONER FOR LAW ENFORCEMENT","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY COMMISSIONER FOR POLICY AND ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"DEPUTY COMMISSIONER OF INVESTIGATIONS",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COMMISSIONER OF IT",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA,"$1,485.93","$5,944"
"DEPUTY COMMISSIONER OF LABOR RELATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COMMUNITY SUPERINTENDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY CONTROLLER",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY COUNSEL INTERN","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR- FINANCE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR-LEGAL DIVISION",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR-OFFICE OF COMMUNICATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR OF ADMIN WORKER'S COMP BENEFITS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR OF ADMINISTRATION","$0.00","$0","$7.21","$94","$0.00","$0","$167","$1,673","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR OF CONSTRUCTION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR OF EMERGENCY MANAGEMENT",NA,NA,NA,NA,NA,NA,NA,NA,"$7,432.43","$7,432","$59.93","$60","$0.00","$0"
"DEPUTY DIRECTOR OF EQUAL OPPORTUNITY",NA,NA,"$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR OF HOUSING APPLICANTS","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR OF LABOR RELATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY DIRECTOR OF MANAGEMENT","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR OF MANAGEMENT & BUDGET","$0.00","$0",NA,NA,"$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR OF MEDICOLEGAL INVESTIGATIONS","$0.00","$0","$9,573.98","$9,574","$0.00","$0","$0","$0","$4,167.09","$16,668","$1.00","$9","$1,078.69","$10,787"
"DEPUTY DIRECTOR OF METHODS & ANALYSIS","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR OF MOTOR EQUIPMENT MAINTENANCE","$8,941.91","$17,884","$8,032.00","$24,096","$2,399.49","$7,198","$4,490","$26,940","$6,177.04","$37,062","$3,910.51","$19,553","$2,943.16","$11,773"
"DEPUTY DIRECTOR OF PROBATION","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY DIRECTOR OF SECURITY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY EXECUTIVE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY EXECUTIVE DIRECTOR CAMPAIGN FINANCE BOARD",NA,NA,NA,NA,NA,NA,"$0","$0","$2,839.67","$5,679","$0.00","$0","$0.00","$0"
"DEPUTY EXECUTIVE DIRECTOR OF BUSINESS AND ADMINISTRATION","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPUTY EXECUTIVE DIRECTOR OF FINANCIAL OPERATIONS",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY GENERAL COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY INSPECTOR GENERAL","$0.00","$0","$0.63","$11","$868.24","$17,365","$179","$4,295","$377.13","$9,805","$104.12","$3,436","$90.19","$3,157"
"DEPUTY MAYOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY OPERATION SUPPORT MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY PUBLIC ADMINISTATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY REGIONAL SUPERINTENDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY SUPERINTENDENT",NA,NA,"$108.18","$216","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DEPUTY UNIT CHIEF","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0","$0.00","$0"
"DIETARY AIDE","$6,337.75","$50,702","$4,676.11","$37,409","$6,329.31","$31,647","$1,905","$15,240","$636.58","$5,729","$2,286.99","$11,435","$1,378.76","$6,894"
"DIETITIAN","$24.49","$196","$14.07","$127","$6.72","$60","$0","$0","$0.00","$0","$0.00","$0","$6.73","$34"
"DIR  OF AUDIT & PROG ANALYSIS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"DIR OF ADMINISTRATION, WORKER'S COMP BENEFITS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIR OF CONTRACT MGMT & INTERGOVERNMENTAL RELATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"DIR OF HEALTHCARE FACILITIES AND PROVIDER READINESS",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"DIR OF HOME CARE SERVICES/FAMILY AND ADULT SERVICES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIR OF MGNT SYSTEM, PLANNING, RESEARCH AND EVAL",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIR OF PERSONNEL & LABOR RELS",NA,NA,"$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DIR OF QUALITY & COST CONTROL",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIR POLICY ECONOM RESRCH","$0.00","$0",NA,NA,NA,NA,"$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIRECTOR-OFFICE OF COMMUNICATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIRECTOR-OFFICE OF POLICY","$0.00","$0","$0.00","$0",NA,NA,NA,NA,"$0.00","$0","$0.00","$0",NA,NA
"DIRECTOR BOROUGH PRESIDENT'S OFFICE OF ADMINISTRATION QUEENS",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIRECTOR BUREAU OF WEIGHTS AND MEASURES",NA,NA,NA,NA,NA,NA,NA,NA,"$1,119.79","$1,120","$21.10","$21",NA,NA
"DIRECTOR CORRESPONDENCE SERVICES","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR EMPLOYEE ASSISTANCE PROGRAM","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR EMPLOYEE MANAGEMENT DIVISION","$0.00","$0","$0.00","$0",NA,NA,"$0","$0","$0.00","$0",NA,NA,NA,NA
"DIRECTOR FOR EQUAL EMPLOYEMENT OPPORTUNITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"DIRECTOR FOR EQUAL EMPLOYMENT OPPORTUNITY","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR LEGAL DIVISION/GEN COUNSEL& SPEC COUNSEL",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIRECTOR MANAGEMENT INFORMATION SYSTEMS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
